product_id,pair_id,product_name,category,subcategory,brand,gender_target,price,size,normalized_price_per_unit,retailer,description,ingredients,
P00014_F,PAIR00014,Levi's T-Shirt - Women - L,Clothing,T-Shirt,Levi's,Women,2566.53,L,2566.53,RelianceDigital,Levi's T-Shirt for everyday use — nourishes and protects.,,
P00015_M,PAIR00015,Uniqlo Socks - Men - 3,Clothing,Socks,Uniqlo,Men,367.18,3,122.39,BigBasket,Uniqlo presents a gentle Socks with enriched ingredients.,,
P00015_F,PAIR00015,Uniqlo Socks - Women - 3,Clothing,Socks,Uniqlo,Women,397.66,3,132.55,BigBasket,Uniqlo presents a gentle Socks with enriched ingredients.,,
P00016_M,PAIR00016,HealthKart Supplements - Men - 100,Personal Care,Supplements,HealthKart,Men,1988.99,100,1988.99,Myntra,HealthKart presents a gentle Supplements with enriched ingredients.,"Tea Tree Oil, Glycerin, Keratin, Dimethicone",
P00016_F,PAIR00016,HealthKart Supplements - Women - 100,Personal Care,Supplements,HealthKart,Women,2229.21,100,2229.21,Myntra,HealthKart presents a gentle Supplements with enriched ingredients.,"Tea Tree Oil, Glycerin, Keratin, Dimethicone",
P00017_M,PAIR00017,Garnier Moisturizer - Men - 100ml,Personal Care,Moisturizer,Garnier,Men,2282.37,100,2282.37,Flipkart,Garnier Moisturizer for everyday use — nourishes and protects.,"Glycerin, Tea Tree Oil, Dimethicone, Cetyl Alcohol, Niacinamide",
P00017_F,PAIR00017,Garnier Moisturizer - Women - 100ml,Personal Care,Moisturizer,Garnier,Women,2531.75,100,2531.75,Flipkart,Garnier Moisturizer for everyday use — nourishes and protects.,"Glycerin, Tea Tree Oil, Dimethicone, Cetyl Alcohol, Niacinamide",
P00018_M,PAIR00018,Nike Socks - Men - 1,Clothing,Socks,Nike,Men,206.25,1,206.25,Croma,Lightweight Socks from Nike — dermatologist tested.,,
P00018_F,PAIR00018,Nike Socks - Women - 1,Clothing,Socks,Nike,Women,215.4,1,215.4,Croma,Lightweight Socks from Nike — dermatologist tested.,,
P00019_M,PAIR00019,Puma Socks - Men - 3,Clothing,Socks,Puma,Men,467.09,3,155.7,BigBasket,Advanced formula Socks by Puma for long-lasting performance.,,
P00019_F,PAIR00019,Puma Socks - Women - 3,Clothing,Socks,Puma,Women,503.94,3,167.98,BigBasket,Advanced formula Socks by Puma for long-lasting performance.,,
P00020_M,PAIR00020,Adidas T-Shirt - Men - XL,Clothing,T-Shirt,Adidas,Men,624.75,XL,624.75,PharmEasy,Adidas T-Shirt for everyday use — nourishes and protects.,,
P00020_F,PAIR00020,Adidas T-Shirt - Women - XL,Clothing,T-Shirt,Adidas,Women,665.53,XL,665.53,PharmEasy,Adidas T-Shirt for everyday use — nourishes and protects.,,
P00021_M,PAIR00021,Nike Socks - Men - 5,Clothing,Socks,Nike,Men,465.71,5,93.14,HealthKart,Nike Socks for everyday use — nourishes and protects.,,
P00021_F,PAIR00021,Nike Socks - Women - 5,Clothing,Socks,Nike,Women,461.69,5,92.34,HealthKart,Nike Socks for everyday use — nourishes and protects.,,
P00022_M,PAIR00022,Mamaearth Face Wash - Men - 50ml,Personal Care,Face Wash,Mamaearth,Men,339.13,50,678.26,RelianceDigital,Advanced formula Face Wash by Mamaearth for long-lasting performance.,"Glycerin, Vitamin E, Paraben, Aloe Vera",
P00022_F,PAIR00022,Mamaearth Face Wash - Women - 50ml,Personal Care,Face Wash,Mamaearth,Women,373.48,50,746.96,RelianceDigital,Advanced formula Face Wash by Mamaearth for long-lasting performance.,"Glycerin, Vitamin E, Paraben, Aloe Vera",
P00023_M,PAIR00023,Forest Essentials Face Wash - Men - 100ml,Personal Care,Face Wash,Forest Essentials,Men,295.69,100,295.69,Myntra,Lightweight Face Wash from Forest Essentials — dermatologist tested.,"Shea Butter, Paraben, Sodium Laureth Sulfate, Tea Tree Oil, Keratin",
P00023_F,PAIR00023,Forest Essentials Face Wash - Women - 100ml,Personal Care,Face Wash,Forest Essentials,Women,317.81,100,317.81,Myntra,Lightweight Face Wash from Forest Essentials — dermatologist tested.,"Shea Butter, Paraben, Sodium Laureth Sulfate, Tea Tree Oil, Keratin",
P00024_M,PAIR00024,Neutrogena Face Wash - Men - 150ml,Personal Care,Face Wash,Neutrogena,Men,626.75,150,417.83,RelianceDigital,Advanced formula Face Wash by Neutrogena for long-lasting performance.,"Shea Butter, Coconut Oil, Glycerin, Cetyl Alcohol",
P00024_F,PAIR00024,Neutrogena Face Wash - Women - 150ml,Personal Care,Face Wash,Neutrogena,Women,718.67,150,479.11,RelianceDigital,Advanced formula Face Wash by Neutrogena for long-lasting performance.,"Shea Butter, Coconut Oil, Glycerin, Cetyl Alcohol",
P00025_M,PAIR00025,Olay Face Wash - Men - 50ml,Personal Care,Face Wash,Olay,Men,376.63,50,753.26,Amazon.in,Olay Face Wash for everyday use — nourishes and protects.,"Keratin, Niacinamide, Aloe Vera, Cetyl Alcohol",
P00025_F,PAIR00025,Olay Face Wash - Women - 50ml,Personal Care,Face Wash,Olay,Women,441.77,50,883.54,Amazon.in,Olay Face Wash for everyday use — nourishes and protects.,"Keratin, Niacinamide, Aloe Vera, Cetyl Alcohol",
P00026_M,PAIR00026,Forest Essentials Body Oil - Men - 50,Personal Care,Body Oil,Forest Essentials,Men,205.65,50,205.65,PharmEasy,Lightweight Body Oil from Forest Essentials — dermatologist tested.,"Paraben, Keratin, Tea Tree Oil, Shea Butter",
P00026_F,PAIR00026,Forest Essentials Body Oil - Women - 50,Personal Care,Body Oil,Forest Essentials,Women,232.24,50,232.24,PharmEasy,Lightweight Body Oil from Forest Essentials — dermatologist tested.,"Paraben, Keratin, Tea Tree Oil, Shea Butter",
P00027_M,PAIR00027,Olay Face Wash - Men - 50ml,Personal Care,Face Wash,Olay,Men,201.32,50,402.64,Ajio,Olay presents a gentle Face Wash with enriched ingredients.,"Salicylic Acid, Sodium Chloride, Water, Panthenol, Dimethicone, Fragrance",
P00027_F,PAIR00027,Olay Face Wash - Women - 50ml,Personal Care,Face Wash,Olay,Women,230.61,50,461.22,Ajio,Olay presents a gentle Face Wash with enriched ingredients.,"Salicylic Acid, Sodium Chloride, Water, Panthenol, Dimethicone, Fragrance",
P00028_M,PAIR00028,Ponds Moisturizer - Men - 50ml,Personal Care,Moisturizer,Ponds,Men,1311.35,50,2622.7,Flipkart,Lightweight Moisturizer from Ponds — dermatologist tested.,"Shea Butter, Tea Tree Oil, Aloe Vera",
P00028_F,PAIR00028,Ponds Moisturizer - Women - 50ml,Personal Care,Moisturizer,Ponds,Women,1662.42,50,3324.84,Flipkart,Lightweight Moisturizer from Ponds — dermatologist tested.,"Shea Butter, Tea Tree Oil, Aloe Vera",
P00029_M,PAIR00029,L'Oréal Shampoo - Men - 200ml,Personal Care,Shampoo,L'Oréal,Men,228.2,200,114.1,Amazon.in,L'Oréal Shampoo for everyday use — nourishes and protects.,"Panthenol, Keratin, Shea Butter, Tea Tree Oil",
P00029_F,PAIR00029,L'Oréal Shampoo - Women - 200ml,Personal Care,Shampoo,L'Oréal,Women,273.12,200,136.56,Amazon.in,L'Oréal Shampoo for everyday use — nourishes and protects.,"Panthenol, Keratin, Shea Butter, Tea Tree Oil",
P00030_M,PAIR00030,Nivea Deodorant - Men - 50ml,Personal Care,Deodorant,Nivea,Men,441.43,50,882.86,Croma,Advanced formula Deodorant by Nivea for long-lasting performance.,"Coconut Oil, Dimethicone, Keratin, Retinol",
P00030_F,PAIR00030,Nivea Deodorant - Women - 50ml,Personal Care,Deodorant,Nivea,Women,487.17,50,974.34,Croma,Advanced formula Deodorant by Nivea for long-lasting performance.,"Coconut Oil, Dimethicone, Keratin, Retinol",
P00031_M,PAIR00031,Olay Conditioner - Men - 100ml,Personal Care,Conditioner,Olay,Men,414.79,100,414.79,Ajio,Advanced formula Conditioner by Olay for long-lasting performance.,"Sodium Chloride, Sodium Laureth Sulfate, Cocamidopropyl Betaine",
P00031_F,PAIR00031,Olay Conditioner - Women - 100ml,Personal Care,Conditioner,Olay,Women,468.54,100,468.54,Ajio,Advanced formula Conditioner by Olay for long-lasting performance.,"Sodium Chloride, Sodium Laureth Sulfate, Cocamidopropyl Betaine",
P00032_M,PAIR00032,Forest Essentials Moisturizer - Men - 50ml,Personal Care,Moisturizer,Forest Essentials,Men,2024.31,50,4048.62,PharmEasy,Lightweight Moisturizer from Forest Essentials — dermatologist tested.,"Keratin, Sodium Chloride, Salicylic Acid, Cetyl Alcohol, Fragrance",
P00032_F,PAIR00032,Forest Essentials Moisturizer - Women - 50ml,Personal Care,Moisturizer,Forest Essentials,Women,2460.36,50,4920.72,PharmEasy,Lightweight Moisturizer from Forest Essentials — dermatologist tested.,"Keratin, Sodium Chloride, Salicylic Acid, Cetyl Alcohol, Fragrance",
P00033_M,PAIR00033,Nivea Shaving Foam - Men - 150ml,Shaving,Shaving Foam,Nivea,Men,260.35,150,173.57,BigBasket,Nivea Shaving Foam for everyday use — nourishes and protects.,,
P00033_F,PAIR00033,Nivea Shaving Foam - Women - 150ml,Shaving,Shaving Foam,Nivea,Women,272.25,150,181.5,BigBasket,Nivea Shaving Foam for everyday use — nourishes and protects.,,
P00034_M,PAIR00034,Himalaya Wellness Pain Relief - Men - 10,Health,Pain Relief,Himalaya Wellness,Men,371.59,10,371.59,RelianceDigital,Advanced formula Pain Relief by Himalaya Wellness for long-lasting performance.,,
P00034_F,PAIR00034,Himalaya Wellness Pain Relief - Women - 10,Health,Pain Relief,Himalaya Wellness,Women,379.27,10,379.27,RelianceDigital,Advanced formula Pain Relief by Himalaya Wellness for long-lasting performance.,,
P00035_M,PAIR00035,Dettol Soap - Men - 75ml,Personal Care,Soap,Dettol,Men,226.54,75,302.05,Myntra,Advanced formula Soap by Dettol for long-lasting performance.,"Tea Tree Oil, Water, Vitamin E, Cetyl Alcohol",
P00035_F,PAIR00035,Dettol Soap - Women - 75ml,Personal Care,Soap,Dettol,Women,259.61,75,346.15,Myntra,Advanced formula Soap by Dettol for long-lasting performance.,"Tea Tree Oil, Water, Vitamin E, Cetyl Alcohol",
P00036_M,PAIR00036,Ponds Moisturizer - Men - 50ml,Personal Care,Moisturizer,Ponds,Men,458.27,50,916.54,Flipkart,Ponds presents a gentle Moisturizer with enriched ingredients.,"Salicylic Acid, Glycerin, Vitamin E",
P00036_F,PAIR00036,Ponds Moisturizer - Women - 50ml,Personal Care,Moisturizer,Ponds,Women,549.39,50,1098.78,Flipkart,Ponds presents a gentle Moisturizer with enriched ingredients.,"Salicylic Acid, Glycerin, Vitamin E",
P00037_M,PAIR00037,L'Oréal Moisturizer - Men - 100ml,Personal Care,Moisturizer,L'Oréal,Men,1613.71,100,1613.71,Flipkart,Lightweight Moisturizer from L'Oréal — dermatologist tested.,"Retinol, Niacinamide, Cetyl Alcohol",
P00037_F,PAIR00037,L'Oréal Moisturizer - Women - 100ml,Personal Care,Moisturizer,L'Oréal,Women,1819.32,100,1819.32,Flipkart,Lightweight Moisturizer from L'Oréal — dermatologist tested.,"Retinol, Niacinamide, Cetyl Alcohol",
P00038_M,PAIR00038,Himalaya Face Wash - Men - 50ml,Personal Care,Face Wash,Himalaya,Men,530.63,50,1061.26,Flipkart,Advanced formula Face Wash by Himalaya for long-lasting performance.,"Aloe Vera, Fragrance, Tea Tree Oil, Water, Keratin",
P00038_F,PAIR00038,Himalaya Face Wash - Women - 50ml,Personal Care,Face Wash,Himalaya,Women,654.87,50,1309.74,Flipkart,Advanced formula Face Wash by Himalaya for long-lasting performance.,"Aloe Vera, Fragrance, Tea Tree Oil, Water, Keratin",
P00039_M,PAIR00039,Himalaya Face Wash - Men - 100ml,Personal Care,Face Wash,Himalaya,Men,662.49,100,662.49,Nykaa,Himalaya Face Wash for everyday use — nourishes and protects.,"Niacinamide, Sodium Laureth Sulfate, Water, Cocamidopropyl Betaine, Tea Tree Oil, Fragrance",
P00039_F,PAIR00039,Himalaya Face Wash - Women - 100ml,Personal Care,Face Wash,Himalaya,Women,702.08,100,702.08,Nykaa,Himalaya Face Wash for everyday use — nourishes and protects.,"Niacinamide, Sodium Laureth Sulfate, Water, Cocamidopropyl Betaine, Tea Tree Oil, Fragrance",
P00040_M,PAIR00040,Himalaya Wellness Vitamins - Men - 60,Health,Vitamins,Himalaya Wellness,Men,1262.03,60,21.03,Ajio,Advanced formula Vitamins by Himalaya Wellness for long-lasting performance.,,
P00040_F,PAIR00040,Himalaya Wellness Vitamins - Women - 60,Health,Vitamins,Himalaya Wellness,Women,1312.36,60,21.87,Ajio,Advanced formula Vitamins by Himalaya Wellness for long-lasting performance.,,
P00041_M,PAIR00041,Forest Essentials Face Wash - Men - 50ml,Personal Care,Face Wash,Forest Essentials,Men,240.93,50,481.86,RelianceDigital,Forest Essentials Face Wash for everyday use — nourishes and protects.,"Aloe Vera, Glycerin, Sodium Chloride, Coconut Oil",
P00041_F,PAIR00041,Forest Essentials Face Wash - Women - 50ml,Personal Care,Face Wash,Forest Essentials,Women,266.41,50,532.82,RelianceDigital,Forest Essentials Face Wash for everyday use — nourishes and protects.,"Aloe Vera, Glycerin, Sodium Chloride, Coconut Oil",
P00042_M,PAIR00042,Nike Sneakers - Men - 9,Footwear,Sneakers,Nike,Men,6189.31,9,6189.31,HealthKart,Nike Sneakers for everyday use — nourishes and protects.,,
P00042_F,PAIR00042,Nike Sneakers - Women - 9,Footwear,Sneakers,Nike,Women,6921.78,9,6921.78,HealthKart,Nike Sneakers for everyday use — nourishes and protects.,,
P00043_M,PAIR00043,Ponds Face Wash - Men - 100ml,Personal Care,Face Wash,Ponds,Men,765.38,100,765.38,Amazon.in,Ponds Face Wash for everyday use — nourishes and protects.,"Fragrance, Paraben, Cocamidopropyl Betaine",
P00043_F,PAIR00043,Ponds Face Wash - Women - 100ml,Personal Care,Face Wash,Ponds,Women,920.85,100,920.85,Amazon.in,Ponds Face Wash for everyday use — nourishes and protects.,"Fragrance, Paraben, Cocamidopropyl Betaine",
P00044_M,PAIR00044,Gillette Shaving Foam - Men - 250ml,Shaving,Shaving Foam,Gillette,Men,268.4,250,107.36,RelianceDigital,Gillette Shaving Foam for everyday use — nourishes and protects.,,
P00044_F,PAIR00044,Gillette Shaving Foam - Women - 250ml,Shaving,Shaving Foam,Gillette,Women,272.98,250,109.19,RelianceDigital,Gillette Shaving Foam for everyday use — nourishes and protects.,,
P00045_M,PAIR00045,Olay Moisturizer - Men - 50ml,Personal Care,Moisturizer,Olay,Men,1720.44,50,3440.88,Nykaa,Lightweight Moisturizer from Olay — dermatologist tested.,"Salicylic Acid, Paraben, Keratin, Vitamin E, Niacinamide",
P00045_F,PAIR00045,Olay Moisturizer - Women - 50ml,Personal Care,Moisturizer,Olay,Women,2010.67,50,4021.34,Nykaa,Lightweight Moisturizer from Olay — dermatologist tested.,"Salicylic Acid, Paraben, Keratin, Vitamin E, Niacinamide",
P00046_M,PAIR00046,Garnier Shampoo - Men - 100ml,Personal Care,Shampoo,Garnier,Men,538.9,100,538.9,HealthKart,Lightweight Shampoo from Garnier — dermatologist tested.,"Panthenol, Coconut Oil, Sodium Chloride",
P00046_F,PAIR00046,Garnier Shampoo - Women - 100ml,Personal Care,Shampoo,Garnier,Women,586.6,100,586.6,HealthKart,Lightweight Shampoo from Garnier — dermatologist tested.,"Panthenol, Coconut Oil, Sodium Chloride",
P00047_M,PAIR00047,Dove Moisturizer - Men - 100ml,Personal Care,Moisturizer,Dove,Men,1047.21,100,1047.21,Croma,Dove Moisturizer for everyday use — nourishes and protects.,"Shea Butter, Aloe Vera, Glycerin, Salicylic Acid, Sodium Chloride",
P00047_F,PAIR00047,Dove Moisturizer - Women - 100ml,Personal Care,Moisturizer,Dove,Women,1246.22,100,1246.22,Croma,Dove Moisturizer for everyday use — nourishes and protects.,"Shea Butter, Aloe Vera, Glycerin, Salicylic Acid, Sodium Chloride",
P00048_M,PAIR00048,Adidas Socks - Men - 3,Clothing,Socks,Adidas,Men,463.97,3,154.66,Nykaa,Lightweight Socks from Adidas — dermatologist tested.,,
P00048_F,PAIR00048,Adidas Socks - Women - 3,Clothing,Socks,Adidas,Women,507.51,3,169.17,Nykaa,Lightweight Socks from Adidas — dermatologist tested.,,
P00049_M,PAIR00049,L'Oréal Shampoo - Men - 650ml,Personal Care,Shampoo,L'Oréal,Men,645.3,650,99.28,PharmEasy,Advanced formula Shampoo by L'Oréal for long-lasting performance.,"Dimethicone, Keratin, Vitamin E, Retinol, Chamomile Extract",
P00049_F,PAIR00049,L'Oréal Shampoo - Women - 650ml,Personal Care,Shampoo,L'Oréal,Women,777.2,650,119.57,PharmEasy,Advanced formula Shampoo by L'Oréal for long-lasting performance.,"Dimethicone, Keratin, Vitamin E, Retinol, Chamomile Extract",
P00050_M,PAIR00050,Himalaya Face Wash - Men - 150ml,Personal Care,Face Wash,Himalaya,Men,570.15,150,380.1,Amazon.in,Advanced formula Face Wash by Himalaya for long-lasting performance.,"Fragrance, Aloe Vera, Tea Tree Oil, Cetyl Alcohol",
P00050_F,PAIR00050,Himalaya Face Wash - Women - 150ml,Personal Care,Face Wash,Himalaya,Women,709.74,150,473.16,Amazon.in,Advanced formula Face Wash by Himalaya for long-lasting performance.,"Fragrance, Aloe Vera, Tea Tree Oil, Cetyl Alcohol",
P00051_M,PAIR00051,Puma Socks - Men - 1,Clothing,Socks,Puma,Men,292.87,1,292.87,Croma,Lightweight Socks from Puma — dermatologist tested.,,
P00051_F,PAIR00051,Puma Socks - Women - 1,Clothing,Socks,Puma,Women,302.5,1,302.5,Croma,Lightweight Socks from Puma — dermatologist tested.,,
P00052_M,PAIR00052,Himalaya Face Wash - Men - 100ml,Personal Care,Face Wash,Himalaya,Men,374.83,100,374.83,Croma,Himalaya Face Wash for everyday use — nourishes and protects.,"Retinol, Panthenol, Cetyl Alcohol",
P00052_F,PAIR00052,Himalaya Face Wash - Women - 100ml,Personal Care,Face Wash,Himalaya,Women,396.91,100,396.91,Croma,Himalaya Face Wash for everyday use — nourishes and protects.,"Retinol, Panthenol, Cetyl Alcohol",
P00053_M,PAIR00053,Neutrogena Face Wash - Men - 150ml,Personal Care,Face Wash,Neutrogena,Men,364.61,150,243.07,BigBasket,Lightweight Face Wash from Neutrogena — dermatologist tested.,"Cetyl Alcohol, Retinol, Coconut Oil, Glycerin, Aloe Vera, Sodium Laureth Sulfate",
P00053_F,PAIR00053,Neutrogena Face Wash - Women - 150ml,Personal Care,Face Wash,Neutrogena,Women,428.55,150,285.7,BigBasket,Lightweight Face Wash from Neutrogena — dermatologist tested.,"Cetyl Alcohol, Retinol, Coconut Oil, Glycerin, Aloe Vera, Sodium Laureth Sulfate",
P00054_M,PAIR00054,Ponds Soap - Men - 100ml,Personal Care,Soap,Ponds,Men,210.72,100,210.72,RelianceDigital,Advanced formula Soap by Ponds for long-lasting performance.,"Salicylic Acid, Sodium Chloride, Niacinamide, Sodium Laureth Sulfate, Dimethicone",
P00054_F,PAIR00054,Ponds Soap - Women - 100ml,Personal Care,Soap,Ponds,Women,221.36,100,221.36,RelianceDigital,Advanced formula Soap by Ponds for long-lasting performance.,"Salicylic Acid, Sodium Chloride, Niacinamide, Sodium Laureth Sulfate, Dimethicone",
P00055_M,PAIR00055,Nivea Lotion - Men - 400ml,Personal Care,Lotion,Nivea,Men,1174.63,400,293.66,Nykaa,Lightweight Lotion from Nivea — dermatologist tested.,"Sodium Laureth Sulfate, Shea Butter, Aloe Vera, Salicylic Acid, Coconut Oil, Sodium Chloride",
P00055_F,PAIR00055,Nivea Lotion - Women - 400ml,Personal Care,Lotion,Nivea,Women,1231.14,400,307.79,Nykaa,Lightweight Lotion from Nivea — dermatologist tested.,"Sodium Laureth Sulfate, Shea Butter, Aloe Vera, Salicylic Acid, Coconut Oil, Sodium Chloride",
P00056_M,PAIR00056,Adidas T-Shirt - Men - XL,Clothing,T-Shirt,Adidas,Men,1062.99,XL,1062.99,Flipkart,Adidas T-Shirt for everyday use — nourishes and protects.,,
P00056_F,PAIR00056,Adidas T-Shirt - Women - XL,Clothing,T-Shirt,Adidas,Women,1197.04,XL,1197.04,Flipkart,Adidas T-Shirt for everyday use — nourishes and protects.,,
P00057_M,PAIR00057,Sensodyne Toothpaste - Men - 50ml,Hygiene,Toothpaste,Sensodyne,Men,442.31,50,884.62,Flipkart,Sensodyne presents a gentle Toothpaste with enriched ingredients.,"Panthenol, Glycerin, Keratin, Cetyl Alcohol, Cocamidopropyl Betaine, Dimethicone",
P00057_F,PAIR00057,Sensodyne Toothpaste - Women - 50ml,Hygiene,Toothpaste,Sensodyne,Women,508.53,50,1017.06,Flipkart,Sensodyne presents a gentle Toothpaste with enriched ingredients.,"Panthenol, Glycerin, Keratin, Cetyl Alcohol, Cocamidopropyl Betaine, Dimethicone",
